order,name,term_start,term_end,party,birth,death,portrait_link
1,George Washington,"April 30, 1789","March 4, 1797",Unaffiliated,1732,1799,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg/300px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg
2,John Adams,"March 4, 1797","March 4, 1801",Federalist,1735,1826,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/John_Adams_A18236.jpg/300px-John_Adams_A18236.jpg
3,Thomas Jefferson,"March 4, 1801","March 4, 1809",Democratic-Republican,1743,1826,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg/300px-Thomas_Jefferson_by_Rembrandt_Peale%2C_1800.jpg
4,James Madison,"March 4, 1809","March 4, 1817",Democratic-Republican,1751,1836,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/300px-James_Madison.jpg
5,James Monroe,"March 4, 1817","March 4, 1825",Democratic-Republican,1758,1831,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/James_Monroe_White_House_portrait_1819.jpg/300px-James_Monroe_White_House_portrait_1819.jpg
6,John Quincy Adams,"March 4, 1825","March 4, 1829","Democratic-Republican, National Republican",1767,1848,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/John_Quincy_Adams_by_Charles_Osgood.jpg/300px-John_Quincy_Adams_by_Charles_Osgood.jpg
7,Andrew Jackson,"March 4, 1829","March 4, 1837",Democratic,1767,1845,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Andrew_jackson_head.jpg/300px-Andrew_jackson_head.jpg
8,Martin Van Buren,"March 4, 1837","March 4, 1841",Democratic,1782,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Martin_Van_Buren_circa_1837_crop.jpg/300px-Martin_Van_Buren_circa_1837_crop.jpg
9,William Henry Harrison,"March 4, 1841","April 4, 1841",Whig,1773,1841,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg/300px-William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835_crop.jpg
10,John Tyler,"April 4, 1841","March 4, 1845","Whig, Unaffiliated",1790,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/John_Tyler_crop.jpg/300px-John_Tyler_crop.jpg
11,James K. Polk,"March 4, 1845","March 4, 1849",Democratic,1795,1849,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/JKP.jpg/300px-JKP.jpg
12,Zachary Taylor,"March 4, 1849","July 9, 1850",Whig,1784,1850,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Zachary_Taylor_restored_and_cropped.jpg/300px-Zachary_Taylor_restored_and_cropped.jpg
13,Millard Fillmore,"July 9, 1850","March 4, 1853",Whig,1800,1874,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Fillmore.jpg/300px-Fillmore.jpg
14,Franklin Pierce,"March 4, 1853","March 4, 1857",Democratic,1804,1869,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29.jpg/300px-Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_%28cropped%29.jpg
15,James Buchanan,"March 4, 1857","March 4, 1861",Democratic,1791,1868,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/James_Buchanan.jpg/300px-James_Buchanan.jpg
16,Abraham Lincoln,"March 4, 1861","April 15, 1865","Republican, National Union",1809,1865,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg/300px-Abraham_Lincoln_O-77_matte_collodion_print.jpg
17,Andrew Johnson,"April 15, 1865","March 4, 1869","National Union, Democratic",1808,1875,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg/300px-Andrew_Johnson_photo_portrait_head_and_shoulders%2C_c1870-1880-Edit1.jpg
18,Ulysses S. Grant,"March 4, 1869","March 4, 1877",Republican,1822,1885,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ulysses_S_Grant_by_Brady_c1870-restored.jpg/300px-Ulysses_S_Grant_by_Brady_c1870-restored.jpg
19,Rutherford B. Hayes,"March 4, 1877","March 4, 1881",Republican,1822,1893,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/President_Rutherford_Hayes_1870_-_1880_Restored.jpg/300px-President_Rutherford_Hayes_1870_-_1880_Restored.jpg
