order,name,term_start,term_end,party,birth,death,portrait_link
1,George Washington,"April 30, 1789","March 4, 1797",Unaffiliated,1732,1799,https://en.wikipedia.org/wiki/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg
2,John Adams,"March 4, 1797","March 4, 1801",Federalist,1735,1826,https://en.wikipedia.org/wiki/File:John_Adams_A18236.jpg
3,Thomas Jefferson,"March 4, 1801","March 4, 1809",Democratic-Republican,1743,1826,"https://en.wikipedia.org/wiki/File:Thomas_Jefferson_by_Rembrandt_Peale,_1800.jpg"
4,James Madison,"March 4, 1809","March 4, 1817",Democratic-Republican,1751,1836,https://en.wikipedia.org/wiki/File:James_Madison.jpg
5,James Monroe,"March 4, 1817","March 4, 1825",Democratic-Republican,1758,1831,https://en.wikipedia.org/wiki/File:James_Monroe_White_House_portrait_1819.jpg
6,John Quincy Adams,"March 4, 1825","March 4, 1829","Democratic-Republican, National Republican",1767,1848,https://en.wikipedia.org/wiki/File:John_Quincy_Adams_by_Charles_Osgood.jpg
7,Andrew Jackson,"March 4, 1829","March 4, 1837",Democratic,1767,1845,https://en.wikipedia.org/wiki/File:Andrew_jackson_head.jpg
8,Martin Van Buren,"March 4, 1837","March 4, 1841",Democratic,1782,1862,https://en.wikipedia.org/wiki/File:Martin_Van_Buren_circa_1837_crop.jpg
9,William Henry Harrison,"March 4, 1841","April 4, 1841",Whig,1773,1841,"https://en.wikipedia.org/wiki/File:William_Henry_Harrison_by_James_Reid_Lambdin,_1835_crop.jpg"
10,John Tyler,"April 4, 1841","March 4, 1845","Whig, Unaffiliated",1790,1862,"https://en.wikipedia.org/wiki/File:John_Tyler,_Jr.jpg"
11,James K. Polk,"March 4, 1845","March 4, 1849",Democratic,1795,1849,https://en.wikipedia.org/wiki/File:JKP.jpg
12,Zachary Taylor,"March 4, 1849","July 9, 1850",Whig,1784,1850,https://en.wikipedia.org/wiki/File:Zachary_Taylor_restored_and_cropped.jpg
13,Millard Fillmore,"July 9, 1850","March 4, 1853",Whig,1800,1874,https://en.wikipedia.org/wiki/File:Fillmore.jpg
14,Franklin Pierce,"March 4, 1853","March 4, 1857",Democratic,1804,1869,https://en.wikipedia.org/wiki/File:Mathew_Brady_-_Franklin_Pierce_-_alternate_crop_(cropped).jpg
15,James Buchanan,"March 4, 1857","March 4, 1861",Democratic,1791,1868,https://en.wikipedia.org/wiki/File:James_Buchanan.jpg
16,Abraham Lincoln,"March 4, 1861","April 15, 1865","Republican, National Union",1809,1865,https://en.wikipedia.org/wiki/File:Abraham_Lincoln_O-77_matte_collodion_print.jpg
17,Andrew Johnson,"April 15, 1865","March 4, 1869","National Union, Democratic",1808,1875,"https://en.wikipedia.org/wiki/File:Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg"
18,Ulysses S. Grant,"March 4, 1869","March 4, 1877",Republican,1822,1885,https://en.wikipedia.org/wiki/File:Ulysses_S_Grant_by_Brady_c1870-restored.jpg
19,Rutherford B. Hayes,"March 4, 1877","March 4, 1881",Republican,1822,1893,https://en.wikipedia.org/wiki/File:President_Rutherford_Hayes_1870_-_1880_Restored.jpg
20,James A. Garfield,"March 4, 1881","September 19, 1881",Republican,1831,1881,"https://en.wikipedia.org/wiki/File:James_Abram_Garfield,_photo_portrait_seated.jpg"
21,Chester A. Arthur,"September 19, 1881","March 4, 1885",Republican,1829,1886,https://en.wikipedia.org/wiki/File:Chester_Alan_Arthur.jpg
22,Grover Cleveland,"March 4, 1885","March 4, 1889",Democratic,1837,1908,https://en.wikipedia.org/wiki/File:Grover_Cleveland_-_NARA_-_518139_(cropped).jpg
